canfi_species,a1,a2,a3,b1,b2,b3,c1,c2,c3
100,-1.22133,0.00022,-0.16059,0.47166,0.0004,-0.36295,0.48426,0.00035,-0.4752
101,-1.98201,0.00002,-0.00124,-1.20589,0.00027,-0.07945,-0.25522,0.00044,-0.29391
104,-0.47353,0.00039,-0.30821,-0.30899,-0.00014,-0.22553,0.07149,0.00008,-0.39019
105,-1.22133,0.00022,-0.16059,0.47166,0.0004,-0.36295,0.48426,0.00035,-0.4752
106,-1.6288,0.00108,-0.14379,-0.66939,0.00028,-0.18445,-0.80426,-0.00022,-0.17254
201,-1.41174,0.0002,-0.11697,1.12058,0.00119,-0.53099,1.62932,0.00173,-0.76184
204,-2.13711,-0.00002,-0.01404,-1.87346,0.00005,-0.02429,-1.36311,0.00026,-0.16673
206,-1.53753,0.00002,-0.07921,-1.83729,-0.00101,0.12395,-3.45303,-0.00167,0.29681
208,-0.44623,0.00083,-0.27177,1.80707,0.00087,-0.56041,1.45133,0.00125,-0.69118
300,-1.38649,0.00012,-0.09336,-0.22895,0.00011,-0.14516,0.40627,0.0004,-0.39776
301,-1.268,0.00023,-0.14649,0.24702,0.00052,-0.35855,0.67499,0.0005,-0.45895
303,-1.65262,0.00009,-0.05002,1.47258,0.00041,-0.57926,1.36426,0.00055,-0.61674
304,-1.38649,0.00012,-0.09336,-0.22895,0.00011,-0.14516,0.40627,0.0004,-0.39776
400,-1.00442,0.00015,-0.16775,1.04763,0.00034,-0.47792,1.0412,0.00026,-0.59346
402,-1.00442,0.00015,-0.16775,1.04763,0.00034,-0.47792,1.0412,0.00026,-0.59346
403,-1.73109,-0.00013,0.01095,-1.19772,-0.00024,-0.063,-0.23955,0.00063,-0.42029
500,-2.32409,-0.00014,0.10912,-0.6927,0.00016,-0.11998,-0.47021,0.00002,-0.28838
600,-2.84114,-0.00003,0.14963,-2.13031,0.00003,0.00294,-2.28307,0,-0.07214
602,-2.84114,-0.00003,0.14963,-2.13031,0.00003,0.00294,-2.28307,0,-0.07214
603,-2.84114,-0.00003,0.14963,-2.13031,0.00003,0.00294,-2.28307,0,-0.07214
604,-2.84114,-0.00003,0.14963,-2.13031,0.00003,0.00294,-2.28307,0,-0.07214
702,-1.37078,0.00018,-0.10944,-0.21679,0.0003,-0.23982,0.42986,0.00052,-0.4834
1001,-2.28544,0.00022,-0.05148,-0.82522,0.00056,-0.29695,-0.29501,0.00104,-0.50417
1200,-1.4304,0.0001,-0.04171,-1.77777,-0.00041,0.03829,-3.12888,-0.00098,0.11028
1201,-1.4304,0.0001,-0.04171,-1.77777,-0.00041,0.03829,-3.12888,-0.00098,0.11028
1203,-1.601,0.00015,-0.0679,-0.76893,0.00023,-0.13121,-2.20229,0.00007,-0.13572
1211,-1.601,0.00015,-0.0679,-0.76893,0.00023,-0.13121,-2.20229,0.00007,-0.13572
1303,-2.12988,-0.00031,0.0704,-0.76028,0.00005,-0.11084,-0.23555,-0.00016,-0.39153
1305,-2.12988,-0.00031,0.0704,-0.76028,0.00005,-0.11084,-0.23555,-0.00016,-0.39153
1308,-2.12988,-0.00031,0.0704,-0.76028,0.00005,-0.11084,-0.23555,-0.00016,-0.39153
1403,-1.15533,0.00011,-0.10207,-1.44799,-0.00029,-0.0472,-4.71078,-0.00132,0.27291
1802,-1.96747,-0.00009,0.01675,0.61014,0.00046,-0.4324,-0.67878,0.00063,-0.33985
3500,-1.41867,-0.00187,0.00923,1.18858,0.01004,-0.8655,1.11207,0.01244,-1.04315
